assignee,dt,asset_provider_name,asset_name,disposer_name,n_case,n_dt,assign_amt_principal,repaid_amt
HNHXHXguanqi,2022-06-01,挖财,信喜资产,湖南华夏恒信信用管理有限公司,558,1,1911191.9699999995,222.25
HNHXHXhuoulin,2022-06-01,挖财,信喜资产,湖南华夏恒信信用管理有限公司,605,1,1910115.16,3999.9999999999995
HNHXHXliuhuiyuan,2022-06-01,挖财,信喜资产,湖南华夏恒信信用管理有限公司,602,1,1908266.9300000002,
HNHXHXliuyinghao,2022-06-01,挖财,信喜资产,湖南华夏恒信信用管理有限公司,641,1,1918950.3599999999,
HNHXHXlongjie,2022-06-01,挖财,信喜资产,湖南华夏恒信信用管理有限公司,632,1,1910172.7299999997,
HNHXHXpanzhimei,2022-06-01,挖财,信喜资产,湖南华夏恒信信用管理有限公司,588,1,1912484.4400000002,
HNHXHXwangyao,2022-06-01,挖财,信喜资产,湖南华夏恒信信用管理有限公司,614,1,1939290.92,
HNHXHXxudan,2022-06-01,挖财,信喜资产,湖南华夏恒信信用管理有限公司,568,1,1908616.5400000003,
HNHXHXyujingjing,2022-06-01,挖财,信喜资产,湖南华夏恒信信用管理有限公司,564,1,1910285.34,
HNHXHXzhangmingxuan,2022-06-01,挖财,信喜资产,湖南华夏恒信信用管理有限公司,600,1,1917580.0,
HNJTliushan,2022-06-01,信用家,信用家资产,A-湖南嘉腾-WW,385,1,1.4325697300000004E7,
HNJTluzuyou,2022-06-01,信用家,信用家资产,A-湖南嘉腾-WW,367,1,1.4416835620000008E7,
HNJTxiaojiadong,2022-06-01,信用家,信用家资产,A-湖南嘉腾-WW,356,1,1.4385782289999997E7,
HNJTzhanghongjun,2022-06-01,信用家,信用家资产,A-湖南嘉腾-WW,389,1,1.4400597540000003E7,
HNJXfangguiyu,2022-06-01,WACAI,普惠资产,A-湖南京希-WW,422,1,867849.9199999998,
HNJXfangguiyu,2022-06-01,挖财普惠,普惠资产,A-湖南京希-WW,446,1,1013639.27,
HNJXfangguiyu,2022-06-01,PH,普惠资产,A-湖南京希-WW,361,1,850243.13,
HNJXlilong,2022-06-01,PH,普惠资产,A-湖南京希-WW,311,1,735763.99,
HNJXlilong,2022-06-01,挖财普惠,普惠资产,A-湖南京希-WW,484,1,1216448.2199999997,
HNJXlilong,2022-06-01,WACAI,普惠资产,A-湖南京希-WW,385,1,788606.61,
HNJXlishanglin,2022-06-01,WACAI,普惠资产,A-湖南京希-WW,367,1,796046.8900000001,
HNJXlishanglin,2022-06-01,PH,普惠资产,A-湖南京希-WW,341,1,774055.09,
HNJXlishanglin,2022-06-01,挖财普惠,普惠资产,A-湖南京希-WW,457,1,1165190.1300000001,
HNJXluohuayou,2022-06-01,挖财普惠,普惠资产,A-湖南京希-WW,454,1,1100486.72,
HNJXluohuayou,2022-06-01,PH,普惠资产,A-湖南京希-WW,346,1,733600.54,
HNJXluohuayou,2022-06-01,WACAI,普惠资产,A-湖南京希-WW,435,1,898357.0,
HNJXshangchanglong,2022-06-01,挖财普惠,普惠资产,A-湖南京希-WW,453,1,1086196.3799999997,
